List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$675,000",592 Sqft,$395,"$1,616",1,1,Apt/Condo,1998 (24 yrs old),Freehold Strata,Upper Unit,"Drapes/window Coverings, Garage Door Opener","Central Location, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",West End,https://www.rew.ca//properties/3953534/1205-1200-w-georgia-street-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,480,000",1140 Sqft,$697,"$3,501",2,2,Apt/Condo,2009 (13 yrs old),Freehold Strata,"Corner Unit,Upper Unit",Oven - Built In,"Central Location, Marina Nearby, Private Setting, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Microwave, Range Top, Refrigerator",False Creek,https://www.rew.ca//properties/3952314/1101-1833-crowe-street-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$598,000",527 Sqft,$316,$0,1,0,Apt/Condo,2021 (1 yrs old),Freehold Strata,1 Storey,"Intercom, Smoke Alarm, Sprinkler - Fire",Air Conditioning,Washer/Dryer/Fridge/Stove/Dishwasher,Collingwood,https://www.rew.ca//properties/3950878/602-5058-joyce-street-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$539,000",595 Sqft,$347,"$1,377",1,1,Apt/Condo,1994 (28 yrs old),Freehold Strata,Inside Unit,"Drapes/window Coverings, Garage Door Opener, Sprinkler - Fire",,"Compactor - Garbage, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3953300/404-888-pacific-street-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$849,900",908 Sqft,$627,"$1,923",2,2,Apt/Condo,1990 (32 yrs old),Freehold Strata,"1 Storey,Upper Unit",,,,West End,https://www.rew.ca//properties/3953291/203-1771-nelson-street-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,199,900",1088 Sqft,$734,"$2,993",2,2,Apt/Condo,1995 (27 yrs old),Freehold Strata,Inside Unit,Drapes/window Coverings,"Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3953286/17c-199-drake-street-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$628,800",764 Sqft,$350,"$1,438",1,1,Apt/Condo,1994 (28 yrs old),Freehold Strata,Ground Level Unit,Drapes/window Coverings,"Adult Oriented, Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Main,https://www.rew.ca//properties/3953288/108-383-e-37th-avenue-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,788,000",1250 Sqft,$939,"$4,454",2,2,Apt/Condo,2007 (15 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Oven - Built In","Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Range Top, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3953282/1005-1455-howe-street-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,000",500 Sqft,$334,"$1,315",1,1,Apt/Condo,2018 (4 yrs old),Freehold Strata,"Inside Unit,Upper Unit",Garage Door Opener,"Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Victoria East,https://www.rew.ca//properties/3953272/903-2221-e-30th-avenue-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$5,500,000",2681 Sqft,"$3,090","$22,500",2,3,Apt/Condo,2008 (14 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Pantry, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher, Wine Cooler",West End,https://www.rew.ca//properties/3953268/4902-1128-w-georgia-street-vancouver-bc?direction=desc&page=3&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
