List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$598,000",515 Sqft,$294,"$1,517",1,1,Apt/Condo,2017 (5 yrs old),Freehold Strata,1 Storey,Sprinkler - Fire,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Collingwood,https://www.rew.ca//properties/3948748/1004-5665-boundary-road-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,278,888",1126 Sqft,$476,"$2,560",2,2,Apt/Condo,1982 (40 yrs old),Freehold Strata,"2 Storey,Penthouse",Smoke Alarm,,"Washer/Dryer/Fridge/Stove/Dishwasher, Wine Cooler",West End,https://www.rew.ca//properties/3949681/409-1350-comox-street-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$949,000",792 Sqft,$602,"$2,353",1,1,Apt/Condo,2006 (16 yrs old),Freehold Strata,"1 Storey,Corner Unit",,"Air Conditioning, Central Location, Marina Nearby, Private Setting, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3949677/305-638-beach-crescent-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$868,000",776 Sqft,$351,"$2,394",1,1,Apt/Condo,2009 (13 yrs old),Freehold Strata,"Corner Unit,Upper Unit",,"Central Location, Lane Access, Marina Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Kitsilano,https://www.rew.ca//properties/3949676/509-1808-w-1st-avenue-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$579,000",571 Sqft,$450,"$1,432",1,1,Apt/Condo,2000 (22 yrs old),Freehold Strata,"1 Storey,Inside Unit",,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",,Downtown West,https://www.rew.ca//properties/3851007/1001-63-keefer-place-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$769,000",824 Sqft,$486,"$1,873",2,1,Apt/Condo,1965 (57 yrs old),Freehold Strata,"Corner Unit,Penthouse",,"Central Location, Recreation Nearby","Dishwasher, Microwave, Refrigerator, Stove",Mount Pleasant East,https://www.rew.ca//properties/3920347/406-711-e-6th-avenue-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,318,000",1225 Sqft,$683,"$2,981",2,2,Apt/Condo,1994 (28 yrs old),Freehold Strata,5 Plus Level,"Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown East,https://www.rew.ca//properties/3921218/506-1128-quebec-street-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$3,280,000",1389 Sqft,$905,"$8,627",2,2,Apt/Condo,2020 (2 yrs old),Freehold Strata,Upper Unit,Smoke Alarm,"Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Coal Harbour,https://www.rew.ca//properties/3484132/1302-620-cardero-street-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,290,000",1244 Sqft,$763,"$3,001",2,2,Apt/Condo,1994 (28 yrs old),Freehold Strata,"Corner Unit,Upper Unit","Intercom, Jetted Bathtub, Pantry","Central Location, Recreation Nearby, Shopping Nearby","Microwave, Range Top, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3837262/2201-867-hamilton-street-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$449,000",493 Sqft,$267,"$1,195",1,1,Apt/Condo,2007 (15 yrs old),Freehold Strata,Upper Unit,"Drapes/window Coverings, Garage Door Opener","Central Location, Lane Access, Shopping Nearby","Clothes Washer/Dryer, Microwave",Hastings,https://www.rew.ca//properties/3949630/ph8-2265-e-hastings-street-vancouver-bc?direction=desc&page=5&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
