List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$999,000",968 Sqft,$580,$0,3,2,Apt/Condo,2021 (1 yrs old),Freehold Strata,"End Unit,Upper Unit","Smoke Alarm, Sprinkler - Fire",Air Conditioning,"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Collingwood,https://www.rew.ca//properties/3918593/1101-5058-joyce-street-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,888",615 Sqft,$487,"$1,679",1,1,Apt/Condo,1999 (23 yrs old),Freehold Strata,Inside Unit,,,,Downtown West,https://www.rew.ca//properties/3918408/301-1189-howe-street-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,299,000",781 Sqft,$540,"$3,095",1,1,Apt/Condo,2002 (20 yrs old),Freehold Strata,"Corner Unit,Upper Unit",Intercom,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3918171/3803-1033-marinaside-crescent-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$479,000",595 Sqft,$265,$980,1,1,Apt/Condo,1991 (31 yrs old),Freehold Strata,1 Storey,"Drapes/window Coverings, Garage Door Opener",Central Location,Washer/Dryer/Fridge/Stove/Dishwasher,Collingwood,https://www.rew.ca//properties/3917499/306-3680-rae-avenue-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$9,180,000",2658 Sqft,"$1,322","$17,331",3,4,Apt/Condo,2011 (11 yrs old),Freehold Strata,"Penthouse,Upper Unit","Drapes/window Coverings, Oven - Built In","Air Conditioning, Central Location, Golf Course Nearby, Marina Nearby, Recreation Nearby, Shopping Nearby, Ski Hill Nearby","Microwave, Range Top, Washer/Dryer/Fridge/Stove/Dishwasher",West End,https://www.rew.ca//properties/3719556/ph2-1028-barclay-street-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$975,000",905 Sqft,$544,"$2,122",2,2,Apt/Condo,2007 (15 yrs old),Freehold Strata,"Corner Unit,End Unit","Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby","Dishwasher, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3918180/702-688-abbott-street-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$649,000",510 Sqft,$284,"$1,692",1,1,Apt/Condo,2005 (17 yrs old),Freehold Strata,"1 Storey,End Unit","Drapes/window Coverings, Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3918144/1008-1001-homer-street-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$585,000",552 Sqft,$312,"$1,456",1,1,Apt/Condo,2017 (5 yrs old),Freehold Strata,"1 Storey,Inside Unit","Drapes/window Coverings, Garage Door Opener, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby","Disposal - Waste, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Collingwood,https://www.rew.ca//properties/3918179/811-5665-boundary-road-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,150,000",875 Sqft,$561,"$2,271",2,2,Apt/Condo,2005 (17 yrs old),Freehold Strata,Inside Unit,"Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby","Disposal - Waste, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",West End,https://www.rew.ca//properties/3918178/505-1050-smithe-street-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$315,000",619 Sqft,$588,$0,1,1,Apt/Condo,1970 (52 yrs old),Leasehold not prepaid-Strata,Upper Unit,,"Central Location, Recreation Nearby, Shopping Nearby","Refrigerator, Stove",Mount Pleasant East,https://www.rew.ca//properties/3918217/318-36-e-14th-avenue-vancouver-bc?direction=desc&page=20&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
