List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$2,828,000",1131 Sqft,$0,$0,2,2,Apt/Condo,2022 (0 yrs old),Freehold Strata,5 Plus Level,,,,West End,https://www.rew.ca//properties/3913674/1605-1550-alberni-street-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$788,000",587 Sqft,$351,"$1,903",1,1,Apt/Condo,2020 (2 yrs old),Freehold Strata,1 Storey,,"Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Cambie,https://www.rew.ca//properties/3913671/214-528-w-king-edward-avenue-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,499,000",1041 Sqft,$587,$0,2,2,Apt/Condo,2021 (1 yrs old),Freehold Strata,"1 Storey,Corner Unit",Drapes/window Coverings,"Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3913047/1101-885-cambie-street-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$885,000",697 Sqft,$450,"$2,405",1,1,Apt/Condo,2010 (12 yrs old),Freehold Strata,Upper Unit,Sprinkler - Fire,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3912761/2905-833-homer-street-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$630,000",524 Sqft,$300,"$1,354",1,1,Apt/Condo,2016 (6 yrs old),Freehold Strata,"1 Storey,Upper Unit","Smoke Alarm, Sprinkler - Fire",,Washer/Dryer/Fridge/Stove/Dishwasher,Collingwood,https://www.rew.ca//properties/3913065/506-5515-boundary-road-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$784,900",948 Sqft,$438Monthly,NaN,2,2,Apt/Condo,1995 (27 yrs old),,,,,,University (UBC),https://www.rew.ca//properties/3913056/303-5735-hampton-place-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$618,800",409 Sqft,$395,"$1,642",0,1,Apt/Condo,2020 (2 yrs old),Freehold Strata,Inside Unit,,,,Yaletown,https://www.rew.ca//properties/3913051/1809-1480-howe-street-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,199,000",1081 Sqft,$459,"$1,556",2,2,Apt/Condo,2012 (10 yrs old),Leasehold prepaid-Strata,Corner Unit,"Drapes/window Coverings, Garage Door Opener","Central Location, Golf Course Nearby, Recreation Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,University (UBC),https://www.rew.ca//properties/3913041/502-5868-agronomy-road-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$678,000",545 Sqft,$217,"$1,774",1,1,Apt/Condo,2018 (4 yrs old),Freehold Strata,Corner Unit,Smoke Alarm,"Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby","Dishwasher, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Mount Pleasant East,https://www.rew.ca//properties/3913022/406-379-e-broadway-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$629,000",527 Sqft,$306,"$1,704",1,1,Apt/Condo,2019 (3 yrs old),Freehold Strata,Inside Unit,,"Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Marpole,https://www.rew.ca//properties/3912768/616-455-sw-marine-drive-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$850,000",647 Sqft,$354,"$2,110",1,1,Apt/Condo,2015 (7 yrs old),Freehold Strata,Inside Unit,Drapes/window Coverings,"Air Conditioning, Central Location, Shopping Nearby",Microwave,Cambie,https://www.rew.ca//properties/3912748/211-508-w-29th-avenue-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,999,000",2056 Sqft,"$1,617","$6,959",3,3,Apt/Condo,2011 (11 yrs old),Freehold Strata,"Corner Unit,Upper Unit","Drapes/window Coverings, Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3912881/2801-838-w-hastings-street-vancouver-bc?direction=desc&page=23&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
