List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$1,095,000",1150 Sqft,"$1,000",$0,2,2,Apt/Condo,1959 (63 yrs old),Shares in Co-operative,Inside Unit,,"Central Location, Golf Course Nearby, Marina Nearby, Recreation Nearby, Shopping Nearby",,West End,https://www.rew.ca//properties/3952317/1203-1835-morton-vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$3,600,000",1474 Sqft,$0,$0,1,2,Apt/Condo,2022 (0 yrs old),Freehold Strata,Corner Unit,,"Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/3950292/2001-1550-alberni-street-vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,600,000",995 Sqft,$0,$0,1,2,Apt/Condo,2022 (0 yrs old),Freehold Strata,Corner Unit,,"Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/3950291/1804-1550-alberni-street-vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$959,900",702 Sqft,$381,"$1,967",1,1,Apt/Condo,2003 (19 yrs old),Freehold Strata,Upper Unit,"Drapes/window Coverings, Garage Door Opener","Central Location, Private Yard, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Quilchena,https://www.rew.ca//properties/3948776/vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$759,000",762 Sqft,$411,"$2,063",1,1,Apt/Condo,2000 (22 yrs old),Freehold Strata,1 Storey,Garage Door Opener,"Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Oakridge,https://www.rew.ca//properties/3948739/209-6198-ash-street-vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,430,000",936 Sqft,$600,"$2,861",2,2,Apt/Condo,2016 (6 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby","Dishwasher, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3950762/810-68-smithe-street-vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$899,900",1024 Sqft,$756,"$2,408",2,2,Apt/Condo,2009 (13 yrs old),Freehold Strata,"Corner Unit,End Unit","Smoke Alarm, Sprinkler - Fire",,"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3950295/503-128-w-cordova-street-vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$589,900",810 Sqft,$478,"$1,476",2,2,Apt/Condo,1990 (32 yrs old),Freehold Strata,Ground Level Unit,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Hastings,https://www.rew.ca//properties/3950290/107-2023-franklin-street-vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$499,000",551 Sqft,$335,"$1,180",1,1,Apt/Condo,1981 (41 yrs old),Freehold Strata,Penthouse,,"Central Location, Shopping Nearby","Dishwasher, Refrigerator, Stove",Hastings,https://www.rew.ca//properties/3948780/406-1864-frances-street-vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$799,900",859 Sqft,$424,"$2,082",2,2,Apt/Condo,1986 (36 yrs old),Freehold Strata,"1 Storey,Inside Unit",,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/3950098/202-1147-nelson-street-vancouver-bc?direction=desc&page=4&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
