List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$846,000",579 Sqft,$326,$0,1,1,Apt/Condo,2021 (1 yrs old),Leasehold prepaid-Strata,1 Storey,"Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Golf Course Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",University (UBC),https://www.rew.ca//properties/3916974/m209-5681-birney-avenue-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$630,000",659 Sqft,$398,"$1,511",1,1,Apt/Condo,2018 (4 yrs old),Freehold Strata,1 Storey,"Drapes/window Coverings, Garage Door Opener, Intercom, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Golf Course Nearby, Paved Road, Private Yard, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,South Marine,https://www.rew.ca//properties/3916963/502-3557-sawmill-crescent-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$499,888",524 Sqft,$300,"$1,359",1,1,Apt/Condo,2012 (10 yrs old),Freehold Strata,"Inside Unit,Upper Unit",,,,Downtown West,https://www.rew.ca//properties/3917528/1003-66-w-cordova-street-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$609,000",706 Sqft,$410,"$1,870",1,1,Apt/Condo,1995 (27 yrs old),Freehold Strata,Corner Unit,,"Recreation Nearby, Shopping Nearby","Dishwasher, Microwave, Refrigerator, Stove",Downtown West,https://www.rew.ca//properties/3917523/607-1177-hornby-street-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$627,500",464 Sqft,$0,"$1,740",1,1,Apt/Condo,2020 (2 yrs old),Freehold Strata,2 Storey,"Cul-de-Sac, Drapes/window Coverings","Private Setting, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Strathcona,https://www.rew.ca//properties/3917497/3-829-keefer-street-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$799,000",680 Sqft,$521,"$2,072",1,1,Apt/Condo,2009 (13 yrs old),Freehold Strata,"1 Storey,Upper Unit","Pantry, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Washer/Dryer/Fridge/Stove/Dishwasher, Wine Cooler",False Creek,https://www.rew.ca//properties/3917559/330-2008-pine-street-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,078,000",1005 Sqft,$588,$0,2,2,Apt/Condo,2025 (-3 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby","Dishwasher, Microwave, Range Top, Stove, Washer/Dryer/Fridge/Stove/Dishwasher",Oakridge,https://www.rew.ca//properties/3917544/2503-485-w-42nd-avenue-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,037,500",855 Sqft,$459,"$2,683",2,2,Apt/Condo,2007 (15 yrs old),Freehold Strata,"Corner Unit,Upper Unit",,"Central Location, Recreation Nearby, Shopping Nearby",,Downtown West,https://www.rew.ca//properties/3917513/3103-602-citadel-parade-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,788,000",1179 Sqft,$910,"$4,173",3,2,Apt/Condo,1998 (24 yrs old),Freehold Strata,"Corner Unit,Upper Unit",,Shopping Nearby,Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3917341/1801-1228-marinaside-crescent-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,900",546 Sqft,$332,"$1,309",1,1,Apt/Condo,2018 (4 yrs old),Freehold Strata,1 Storey,"Drapes/window Coverings, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",South Marine,https://www.rew.ca//properties/3917368/903-8538-river-district-crossing-vancouver-bc?direction=desc&page=21&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
