List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$699,000",794 Sqft,$506,"$1,824",2,2,Apt/Condo,1999 (23 yrs old),Freehold Strata,"Inside Unit,Upper Unit","Drapes/window Coverings, Garage Door Opener, Smoke Alarm","Central Location, Recreation Nearby, Shopping Nearby","Free Standing Fireplace or Woodstove, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Fraser East,https://www.rew.ca//properties/3949164/305-688-e-16th-avenue-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,000",447 Sqft,$308,"$1,531",0,1,Apt/Condo,2012 (10 yrs old),Freehold Strata,Upper Unit,Drapes/window Coverings,"Central Location, Marina Nearby, Recreation Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3949157/1105-161-w-georgia-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,350,000",827 Sqft,$383,$0,2,2,Apt/Condo,2021 (1 yrs old),Leasehold prepaid-Strata,Inside Unit,"Drapes/window Coverings, Garage Door Opener, Oven - Built In, Smoke Alarm","Air Conditioning, Golf Course Nearby, Marina Nearby, Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Microwave, Range Top, Refrigerator",University (UBC),https://www.rew.ca//properties/3948746/1705-5410-shortcut-road-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$948,000",987 Sqft,$540,"$2,876",2,2,Apt/Condo,1996 (26 yrs old),Freehold Strata,"Corner Unit,Penthouse","Drapes/window Coverings, Garage Door Opener","Central Location, Private Setting, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Fairview,https://www.rew.ca//properties/3948397/ph16-511-w-7th-avenue-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,198,000",955 Sqft,$617,"$2,811",2,2,Apt/Condo,2013 (9 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Oven - Built In, Sprinkler - Fire","Air Conditioning, Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Microwave",False Creek,https://www.rew.ca//properties/3949385/501-1565-w-6th-avenue-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$699,999",584 Sqft,$378,"$1,727",1,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,1 Storey,Drapes/window Coverings,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Dishwasher, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3949382/808-1325-rolston-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$522,000",508 Sqft,$256,"$1,292",1,1,Apt/Condo,1981 (41 yrs old),Freehold Strata,Upper Unit,Drapes/window Coverings,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Dishwasher, Microwave, Refrigerator, Stove",West End,https://www.rew.ca//properties/3949368/503-1040-pacific-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$698,000",536 Sqft,$329,"$1,832",1,1,Apt/Condo,2002 (20 yrs old),Freehold Strata,1 Storey,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/3949363/2009-1420-w-georgia-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,700,000",1150 Sqft,$891,"$4,314",2,2,Apt/Condo,1997 (25 yrs old),Freehold Strata,"1 Storey,Corner Unit,Upper Unit",Drapes/window Coverings,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3949174/2203-1228-marinaside-crescent-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$595,000",560 Sqft,$289,"$1,429",1,1,Apt/Condo,2009 (13 yrs old),Freehold Strata,"Inside Unit,Upper Unit",Oven - Built In,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Strathcona,https://www.rew.ca//properties/3949176/408-718-main-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,958,000",1005 Sqft,$588,$0,2,2,Apt/Condo,2025 (-3 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby","Dishwasher, Microwave, Range Top, Stove, Washer/Dryer/Fridge/Stove/Dishwasher",Oakridge,https://www.rew.ca//properties/3949162/2103-485-w-42nd-avenue-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$619,999",596 Sqft,$384,"$1,566",1,1,Apt/Condo,1999 (23 yrs old),Freehold Strata,Inside Unit,,,,Yaletown,https://www.rew.ca//properties/3949156/1102-1008-cambie-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$3,499,000",1752 Sqft,$988,$0,3,3,Apt/Condo,2021 (1 yrs old),Freehold Strata,"Corner Unit,Upper Unit",,"Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3949134/3006-1111-richards-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$605,000",614 Sqft,$536,"$1,713",1,1,Apt/Condo,1995 (27 yrs old),Freehold Strata,Corner Unit,,"Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby","Dishwasher, Refrigerator, Stove",Downtown West,https://www.rew.ca//properties/3948784/614-989-nelson-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$488,800",415 Sqft,$218,"$1,078",0,1,Apt/Condo,1999 (23 yrs old),Freehold Strata,"1 Storey,Bachelor/Studio","Garage Door Opener, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby",Disposal - Waste,Downtown West,https://www.rew.ca//properties/3948779/320-1189-howe-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,699,000",1075 Sqft,$628,NaN,2,2,Apt/Condo,2021 (1 yrs old),Leasehold prepaid-Strata,Corner Unit,"Drapes/window Coverings, Smoke Alarm","Air Conditioning, Golf Course Nearby, Gravel Road, Greenbelt, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",University (UBC),https://www.rew.ca//properties/3948756/1606-5629-birney-avenue-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$8,180,000",2518 Sqft,"$1,277","$35,413",2,3,Apt/Condo,2012 (10 yrs old),Freehold Strata,"Corner Unit,End Unit","Drapes/window Coverings, Security System","Air Conditioning, Central Location, Marina Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Coal Harbour,https://www.rew.ca//properties/3948757/16-1-277-thurlow-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,149,900",741 Sqft,$486,"$2,508",1,1,Apt/Condo,2004 (18 yrs old),Freehold Strata,1 Storey,,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3948778/3101-1495-richards-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$649,000",560 Sqft,$476,"$1,576",1,1,Apt/Condo,1996 (26 yrs old),Freehold Strata,Upper Unit,Drapes/window Coverings,Central Location,Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3948758/1507-438-seymour-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$3,975,000",1659 Sqft,$890,"$8,499",2,3,Apt/Condo,2018 (4 yrs old),Freehold Strata,"Corner Unit,Penthouse","Oven - Built In, Pantry, Smoke Alarm, Sprinkler - Fire",Air Conditioning,Washer/Dryer/Fridge/Stove/Dishwasher,Mount Pleasant East,https://www.rew.ca//properties/3948737/1402-1688-pullman-porter-street-vancouver-bc?direction=desc&page=6&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
