List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$1,080,000",1329 Sqft,$614,"$1,823",2,2,Apt/Condo,1995 (27 yrs old),Leasehold prepaid-Strata,Other,,,,University (UBC),https://www.rew.ca//properties/3945821/332-5735-hampton-place-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$499,000",630 Sqft,$404,"$1,178",2,1,Apt/Condo,2000 (22 yrs old),Freehold Strata,Upper Unit,"Cul-de-Sac, Drapes/window Coverings, Garage Door Opener, Smoke Alarm","Central Location, Golf Course Nearby, Marina Nearby, Private Setting, Recreation Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",South Marine,https://www.rew.ca//properties/3946650/702-2763-chandlery-place-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$878,000",835 Sqft,$413,"$2,513",1,1,Apt/Condo,1989 (33 yrs old),Freehold Strata,"2 Storey,Penthouse",Drapes/window Coverings,"Central Location, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Kitsilano,https://www.rew.ca//properties/3946654/ph22-2175-w-3rd-avenue-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$758,800",659 Sqft,$414,"$2,057",1,1,Apt/Condo,2014 (8 yrs old),Freehold Strata,Corner Unit,,"Central Location, Lane Access, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3946652/806-1308-hornby-street-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$995,000",1277 Sqft,$504,"$2,616",2,2,Apt/Condo,1986 (36 yrs old),Freehold Strata,Upper Unit,Smoke Alarm,"Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,False Creek,https://www.rew.ca//properties/3946646/512-518-moberly-road-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$499,900",962 Sqft,$439,"$1,808",2,1,Apt/Condo,1978 (44 yrs old),Leasehold prepaid-Strata,2 Storey,Cul-de-Sac,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,False Creek,https://www.rew.ca//properties/3946645/444-658-leg-in-boot-square-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$949,000",1009 Sqft,$548,"$2,294",2,2,Apt/Condo,1994 (28 yrs old),Freehold Strata,Inside Unit,"Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Adult Oriented, Central Location, Gated Complex, Golf Course Development, Lane Access, Recreation Nearby","Dishwasher, Microwave, Refrigerator, Washer/Dryer/Fridge/Stove/Dishwasher",Fairview,https://www.rew.ca//properties/3946641/406-500-w-10th-avenue-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$675,000",713 Sqft,$270,"$1,720",1,1,Apt/Condo,1999 (23 yrs old),Freehold Strata,"Live/Work Studio,Loft/Warehouse Conv.","Drapes/window Coverings, Fireplace Insert, Smoke Alarm, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Strathcona,https://www.rew.ca//properties/3946644/425-289-alexander-street-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$629,900",717 Sqft,$470,"$1,777",1,1,Apt/Condo,1995 (27 yrs old),Freehold Strata,1 Storey,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Kitsilano,https://www.rew.ca//properties/3946624/207-2555-w-4th-avenue-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,999,900",1175 Sqft,$698,"$4,957",2,2,Apt/Condo,2018 (4 yrs old),Freehold Strata,1 Storey,,"Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Mount Pleasant West,https://www.rew.ca//properties/3946628/304-1678-pullman-porter-street-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,499,900",993 Sqft,$549,"$4,124",2,2,Apt/Condo,2002 (20 yrs old),Freehold Strata,"1 Storey,Corner Unit",,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3946620/1802-1408-strathmore-mews-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$699,000",685 Sqft,$470,"$1,678",1,1,Apt/Condo,1977 (45 yrs old),Freehold Strata,"Corner Unit,End Unit","Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire",,"Dishwasher, Microwave, Refrigerator, Stove",Kitsilano,https://www.rew.ca//properties/3946622/203-1930-w-3rd-avenue-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$898,900",822 Sqft,$421,"$2,271",2,2,Apt/Condo,2007 (15 yrs old),Freehold Strata,Upper Unit,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3946621/1808-131-regiment-square-vancouver-bc?direction=desc&page=10&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
