List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$888,000",588 Sqft,$326,"$2,095",1,1,Apt/Condo,2002 (20 yrs old),Freehold Strata,Corner Unit,Sprinkler - Fire,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3947708/3505-1408-strathmore-mews-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$9,180,000",2658 Sqft,"$1,322Monthly",NaN,3,3,Apt/Condo,2011 (11 yrs old),,,,,,West End,https://www.rew.ca//properties/3947631/ph2-1028-barclay-street-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,000",696 Sqft,$402,"$1,441",2,1,Apt/Condo,2001 (21 yrs old),Freehold Strata,"Inside Unit,Upper Unit",Garage Door Opener,,Washer/Dryer/Fridge/Stove/Dishwasher,Collingwood,https://www.rew.ca//properties/3947563/312-3520-crowley-drive-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,088,000",589 Sqft,$434,"$2,358",1,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,"Corner Unit,End Unit,Upper Unit","Drapes/window Coverings, Oven - Built In","Air Conditioning, Central Location, Golf Course Nearby, Marina Nearby, Recreation Nearby, Shopping Nearby","Clothes Dryer, Clothes Washer, Dishwasher, Microwave, Range Top, Refrigerator",West End,https://www.rew.ca//properties/3947415/1201-1221-bidwell-street-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,080,000",850 Sqft,$387,"$2,013",2,2,Apt/Condo,2016 (6 yrs old),Leasehold prepaid-Strata,Upper Unit,"Garage Door Opener, Oven - Built In, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Golf Course Nearby, Shopping Nearby","Dishwasher, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",University (UBC),https://www.rew.ca//properties/3946778/708-5628-birney-avenue-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$889,000",709 Sqft,$280,"$2,315",2,1,Apt/Condo,2011 (11 yrs old),Freehold Strata,1 Storey,,"Central Location, Recreation Nearby, Shopping Nearby",,Yaletown,https://www.rew.ca//properties/3947353/717-1088-richards-street-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$738,000",570 Sqft,$370,"$1,900",1,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Garage Door Opener",,"Clothes Washer/Dryer, Refrigerator, Stove",False Creek,https://www.rew.ca//properties/3946847/802-168-w-1st-avenue-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$649,000",505 Sqft,$287,"$1,593",1,1,Apt/Condo,2019 (3 yrs old),Freehold Strata,1 Storey,Smoke Alarm,"Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Marpole,https://www.rew.ca//properties/3946843/615-433-sw-marine-drive-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,418,900",958 Sqft,$565,$0,3,2,Apt/Condo,2024 (-2 yrs old),Freehold Strata,Corner Unit,,"Air Conditioning, Central Location, Golf Course Nearby, Lane Access, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Southwest Marine,https://www.rew.ca//properties/3945752/401-8415-granville-street-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,038,000",749 Sqft,$502,"$2,601",2,2,Apt/Condo,2016 (6 yrs old),Freehold Strata,Upper Unit,"Garage Door Opener, Sprinkler - Fire","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3947299/957-38-smithe-street-vancouver-bc?direction=desc&page=8&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
