List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$1,450,000",1020 Sqft,$602,"$3,101",2,2,Apt/Condo,2003 (19 yrs old),Freehold Strata,1 Storey,,"Central Location, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3922840/1704-1055-homer-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$550,000",461 Sqft,$238,$685,1,1,Apt/Condo,1988 (34 yrs old),Freehold Strata,1 Storey,"Smoke Alarm, Sprinkler - Fire","Central Location, Lane Access, Recreation Nearby, Shopping Nearby","Refrigerator, Stove",Killarney,https://www.rew.ca//properties/3922168/212-5520-joyce-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$774,900",579 Sqft,$245,$0,1,1,Apt/Condo,2022 (0 yrs old),Freehold Strata,"Ground Level Unit,Inside Unit","Oven - Built In, Pantry, Sprinkler - Fire","Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Microwave, Range Top, Refrigerator",Grandview East,https://www.rew.ca//properties/3918150/112-2235-broadway-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$729,999",439 Sqft,$251,$0,1,1,Apt/Condo,2016 (6 yrs old),Freehold Strata,Inside Unit,,"Central Location, Recreation Nearby, Shopping Nearby",,Collingwood,https://www.rew.ca//properties/3917273/905-5058-joyce-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,299,000",983 Sqft,$772,"$3,200",2,2,Apt/Condo,1997 (25 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Oven - Built In","Central Location, Golf Course Nearby, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Coal Harbour,https://www.rew.ca//properties/3920716/505-560-cardero-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,044,900",704 Sqft,$348,$0,1,1,Apt/Condo,2024 (-2 yrs old),Freehold NonStrata,"1 Storey,Corner Unit","Drapes/window Coverings, Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3921982/607-828-cambie-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,099,500",951 Sqft,$474,"$2,192",2,2,Apt/Condo,1998 (24 yrs old),Freehold Strata,"1 Storey,Penthouse",,,,Kitsilano,https://www.rew.ca//properties/3921293/402-2929-w-4th-avenue-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$799,000",665 Sqft,$445,"$1,756",1,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Garage Door Opener","Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",False Creek,https://www.rew.ca//properties/3917566/601-89-w-2nd-avenue-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$649,900",551 Sqft,$451,"$1,903",1,1,Apt/Condo,2015 (7 yrs old),Freehold Strata,"1 Storey,Inside Unit,Upper Unit","Drapes/window Coverings, Garage Door Opener, Intercom, Oven - Built In","Air Conditioning, Central Location, Lane Access, Paved Road, Private Setting, Recreation Nearby, Shopping Nearby","Disposal - Waste, Freezer, Microwave, Range Top, Washer/Dryer/Fridge/Stove/Dishwasher",False Creek,https://www.rew.ca//properties/3921313/906-38-w-1st-avenue-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$868,000",888 Sqft,$538,"$2,139",2,2,Apt/Condo,2018 (4 yrs old),Freehold Strata,1 Storey,"Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Central Location, Golf Course Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,South Marine,https://www.rew.ca//properties/3921302/503-3488-sawmill-crescent-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$4,298,000",1619 Sqft,$713,"$4,637",4,4,Apt/Condo,2016 (6 yrs old),Leasehold prepaid-NonStrata,"Corner Unit,Penthouse","Smoke Alarm, Sprinkler - Fire","Air Conditioning, Golf Course Nearby, Greenbelt, Marina Nearby, Recreation Nearby, Shopping Nearby, Treed","Microwave, Range Top, Washer/Dryer/Fridge/Stove/Dishwasher",University (UBC),https://www.rew.ca//properties/3921271/2601-3355-binning-road-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$475,000",477 Sqft,$177,"$1,097",1,1,Apt/Condo,1974 (48 yrs old),Freehold Strata,1 Storey,,"Central Location, Recreation Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Mount Pleasant East,https://www.rew.ca//properties/3921285/310-550-e-6th-avenue-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$835,000",781 Sqft,$448,"$2,320",1,1,Apt/Condo,2009 (13 yrs old),Freehold Strata,"1 Storey,Upper Unit","Drapes/window Coverings, Garage Door Opener, Intercom, Smoke Alarm","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3921227/2308-788-hamilton-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$549,800",569 Sqft,$196,"$1,351",1,1,Apt/Condo,2015 (7 yrs old),Freehold Strata,"Inside Unit,Upper Unit",Drapes/window Coverings,"Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Strathcona,https://www.rew.ca//properties/3921209/203-557-e-cordova-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$929,000",932 Sqft,$575,"$2,820",1,2,Apt/Condo,2008 (14 yrs old),Freehold Strata,Loft/Warehouse Conv.,Drapes/window Coverings,"Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3921201/308-36-water-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,299,900",1373 Sqft,$872,"$2,692",2,2,Apt/Condo,1981 (41 yrs old),Freehold Strata,"Corner Unit,Upper Unit",Drapes/window Coverings,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/3921294/404-738-broughton-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,900",410 Sqft,$300,"$1,401",0,1,Apt/Condo,1999 (23 yrs old),Freehold Strata,Inside Unit,,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/3921245/103-1367-alberni-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,099,000",978 Sqft,$517,"$2,700",2,2,Apt/Condo,1990 (32 yrs old),Freehold Strata,Ground Level Unit,"Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Central Location, Lane Access, Private Yard, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Fairview,https://www.rew.ca//properties/3921247/103-655-w-13th-avenue-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,595,000",1345 Sqft,$539,"$3,790",2,2,Apt/Condo,1999 (23 yrs old),Freehold Strata,"Loft/Warehouse Conv.,Penthouse",,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Strathcona,https://www.rew.ca//properties/3921239/1005-289-alexander-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,110,000",691 Sqft,$348,NaN,1,1,Apt/Condo,2023 (-1 yrs old),Freehold Strata,Corner Unit,"Oven - Built In, Sprinkler - Fire","Air Conditioning, Central Location, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Kitsilano,https://www.rew.ca//properties/3920701/205-2888-arbutus-street-vancouver-bc?direction=desc&page=17&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
