List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$3,888,000",1908 Sqft,"$1,099","$7,674",3,3,Apt/Condo,2009 (13 yrs old),Freehold Strata,"Corner Unit,Penthouse","Drapes/window Coverings, Fireplace Insert, Pantry","Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3945852/ph3503-33-smithe-street-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$449,000",412 Sqft,$303,"$1,202",1,1,Apt/Condo,2011 (11 yrs old),Freehold Strata,"Inside Unit,Loft/Warehouse Conv.",,"Central Location, Recreation Nearby, Shopping Nearby",,Downtown East,https://www.rew.ca//properties/3945816/304-370-carrall-street-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$499,888",405 Sqft,$193,"$1,546",0,1,Apt/Condo,1995 (27 yrs old),Freehold Strata,Upper Unit,"Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3945807/2210-1188-richards-street-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$639,900",517 Sqft,$314,"$1,824",1,1,Apt/Condo,2004 (18 yrs old),Freehold Strata,Inside Unit,"Drapes/window Coverings, Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3945789/1705-1001-richards-street-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$699,900",565 Sqft,$309,"$1,981",1,1,Apt/Condo,2011 (11 yrs old),Freehold Strata,"1 Storey,Upper Unit",,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",,Downtown West,https://www.rew.ca//properties/3945805/2202-888-homer-street-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,038,000",828 Sqft,$395,"$2,592",2,2,Apt/Condo,2019 (3 yrs old),Freehold Strata,"1 Storey,Upper Unit","Drapes/window Coverings, Garage Door Opener, Oven - Built In","Air Conditioning, Central Location, Lane Access, Private Setting, Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Microwave, Range Top, Refrigerator",Main,https://www.rew.ca//properties/3945796/201-5089-quebec-street-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$899,000",601 Sqft,$596,"$2,004",1,1,Apt/Condo,2011 (11 yrs old),Freehold Strata,Upper Unit,"Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3945785/1605-838-w-hastings-street-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$649,000",760 Sqft,$444,"$1,716",2,1,Apt/Condo,1992 (30 yrs old),Freehold Strata,Corner Unit,"Fireplace Insert, Intercom","Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Grandview East,https://www.rew.ca//properties/3945794/201-1610-e-5th-avenue-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$499,900",653 Sqft,$404,"$1,388",1,1,Apt/Condo,1974 (48 yrs old),Freehold Strata,Inside Unit,,"Central Location, Shopping Nearby","Refrigerator, Stove",Grandview East,https://www.rew.ca//properties/3945798/203-1515-e-5th-avenue-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,299,000",919 Sqft,$684,"$2,956",2,2,Apt/Condo,1987 (35 yrs old),Leasehold prepaid-Strata,Corner Unit,Drapes/window Coverings,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3945797/1602-1625-hornby-street-vancouver-bc?direction=desc&page=12&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
