List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$960,000",639 Sqft,$322,$0,1,1,Apt/Condo,2023 (-1 yrs old),Freehold Strata,Inside Unit,"Oven - Built In, Sprinkler - Fire","Air Conditioning, Central Location, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Kitsilano,https://www.rew.ca//properties/3920667/207-2888-arbutus-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$588,000",535 Sqft,$306,"$1,371",1,1,Apt/Condo,2012 (10 yrs old),Freehold Strata,Inside Unit,,,Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3921063/905-66-w-cordova-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$580,000",659 Sqft,$271,"$1,362",1,1,Apt/Condo,2005 (17 yrs old),Freehold Strata,1 Storey,,"Central Location, Recreation Nearby, Shopping Nearby, Treed","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Collingwood,https://www.rew.ca//properties/3900405/910-3663-crowley-drive-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,588,000",1430 Sqft,"$1,010","$4,091",2,3,Apt/Condo,1993 (29 yrs old),Freehold Strata,2 Storey,"Drapes/window Coverings, Security System, Sprinkler - Fire, Vacuum - Built In","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby, Treed","Disposal - Waste, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3833787/506-990-beach-avenue-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$899,000",849 Sqft,$480,"$2,388",2,2,Apt/Condo,2005 (17 yrs old),Freehold Strata,"Corner Unit,End Unit","Fireplace Insert, Pantry","Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3920723/905-933-hornby-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,650,000",1223 Sqft,$550,"$4,036",2,2,Apt/Condo,1993 (29 yrs old),Freehold Strata,1 Storey,"Drapes/window Coverings, Garage Door Opener","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Freezer, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3920705/2202-289-drake-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$584,900",594 Sqft,$325,"$1,394",1,1,Apt/Condo,2016 (6 yrs old),Freehold Strata,Inside Unit,Drapes/window Coverings,"Central Location, Shopping Nearby","Clothes Dryer, Clothes Washer, Dishwasher, Disposal - Waste, Microwave, Refrigerator, Stove",Hastings,https://www.rew.ca//properties/3920703/204-2141-e-hastings-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$749,900",568 Sqft,$402,"$1,935",1,1,Apt/Condo,2014 (8 yrs old),Freehold Strata,Ground Level Unit,,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",,Mount Pleasant East,https://www.rew.ca//properties/3920690/107-110-switchmen-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,049,900",925 Sqft,$352,"$2,609",1,2,Apt/Condo,2000 (22 yrs old),Freehold Strata,"Live/Work Studio,Loft/Warehouse Conv.","Fireplace Insert, Smoke Alarm, Sprinkler - Fire, Vaulted Ceiling","Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Strathcona,https://www.rew.ca//properties/3920682/610-289-alexander-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$789,000",796 Sqft,$445,"$1,987",2,2,Apt/Condo,2006 (16 yrs old),Freehold Strata,"1 Storey,Upper Unit",Garage Door Opener,"Central Location, Lane Access, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Mount Pleasant East,https://www.rew.ca//properties/3920687/808-328-e-11th-avenue-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,000",591 Sqft,$287,"$1,765",1,1,Apt/Condo,2009 (13 yrs old),Freehold Strata,Inside Unit,,"Central Location, Shopping Nearby",Clothes Washer/Dryer,Downtown West,https://www.rew.ca//properties/3920671/403-12-water-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$699,000",658 Sqft,$348,"$1,739",1,1,Apt/Condo,2015 (7 yrs old),Freehold Strata,Upper Unit,"Drapes/window Coverings, Pantry, Smoke Alarm, Sprinkler - Fire","Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Victoria East,https://www.rew.ca//properties/3920669/206-3456-commercial-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$799,000",694 Sqft,$369,"$1,803",1,1,Apt/Condo,1994 (28 yrs old),Freehold Strata,"End Unit,Upper Unit","Drapes/window Coverings, Intercom, Smoke Alarm","Central Location, Gated Complex, Marina Nearby, Recreation Nearby, Shopping Nearby","Disposal - Waste, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3920673/1304-1155-homer-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,800,000",1447 Sqft,$908,"$4,083",2,2,Apt/Condo,1960 (62 yrs old),Shares in Co-operative,"End Unit,Upper Unit",,"Greenbelt, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",West End,https://www.rew.ca//properties/3920600/802-2095-beach-avenue-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$550,000",610 Sqft,$362,"$1,462",1,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,Inside Unit,,"Central Location, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Victoria East,https://www.rew.ca//properties/3920107/204-4338-commercial-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,949,900",2056 Sqft,"$1,817","$6,976",2,3,Apt/Condo,2011 (11 yrs old),Freehold Strata,"Corner Unit,End Unit",,"Marina Nearby, Recreation Nearby, Shopping Nearby",,Downtown West,https://www.rew.ca//properties/3920344/2401-838-w-hastings-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$549,000",501 Sqft,$293,"$1,262",1,1,Apt/Condo,1982 (40 yrs old),Freehold Strata,Other,"Drapes/window Coverings, Intercom","Marina Nearby, Recreation Nearby, Shopping Nearby","Dishwasher, Microwave, Refrigerator, Stove",Downtown West,https://www.rew.ca//properties/3920086/613-950-drake-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$789,900",453 Sqft,$295,"$1,938",1,1,Apt/Condo,2020 (2 yrs old),Freehold Strata,1 Storey,"Drapes/window Coverings, Oven - Built In, Smoke Alarm, Sprinkler - Fire","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Coal Harbour,https://www.rew.ca//properties/3920318/1406-620-cardero-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$699,999",664 Sqft,$445,"$1,739",1,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,Corner Unit,,Air Conditioning,Washer/Dryer/Fridge/Stove/Dishwasher,False Creek,https://www.rew.ca//properties/3920126/89-w-2nd-avenue-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$798,800",770 Sqft,$452,"$2,042",2,2,Apt/Condo,2017 (5 yrs old),Freehold Strata,1 Storey,"Drapes/window Coverings, Intercom, Smoke Alarm, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Collingwood,https://www.rew.ca//properties/3919637/310-5598-ormidale-street-vancouver-bc?direction=desc&page=18&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
