List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$748,000",740 Sqft,$484,"$1,468",1,1,Apt/Condo,1977 (45 yrs old),Freehold Strata,"1 Storey,Ground Level Unit","Drapes/window Coverings, Garage Door Opener","Central Location, Marina Nearby, Private Setting, Recreation Nearby, Shopping Nearby, Treed","Dishwasher, Refrigerator, Stove",West End,https://www.rew.ca//properties/3941540/101-1855-nelson-street-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$668,000",510 Sqft,$247,"$3,580",0,1,Apt/Condo,2001 (21 yrs old),Freehold Strata,Other,,,,Coal Harbour,https://www.rew.ca//properties/3941542/403-1478-w-hastings-street-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,900",416 Sqft,$308,"$1,546",0,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,Inside Unit,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/3941341/1104-1221-bidwell-street-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,099,000",805 Sqft,$377,"$1,937",2,2,Apt/Condo,2021 (1 yrs old),Freehold Strata,"1 Storey,Corner Unit","Garage Door Opener, Security System, Smoke Alarm","Air Conditioning, Central Location, Shopping Nearby","Dishwasher, Washer/Dryer/Fridge/Stove/Dishwasher",Cambie,https://www.rew.ca//properties/3941338/304-469-w-king-edward-avenue-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,498,000",1153 Sqft,$808,"$3,714",2,2,Apt/Condo,2017 (5 yrs old),Freehold Strata,1 Storey,"Drapes/window Coverings, Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Lane Access, Private Setting, Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Microwave",Mount Pleasant West,https://www.rew.ca//properties/3941336/811-2888-cambie-street-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$449,000",331 Sqft,$198,"$1,055",0,1,Apt/Condo,1996 (26 yrs old),Freehold Strata,"1 Storey,Bachelor/Studio",Drapes/window Coverings,"Central Location, Recreation Nearby, Shopping Nearby","Refrigerator, Stove",Downtown West,https://www.rew.ca//properties/3941299/2007-1238-seymour-street-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,381,900",866 Sqft,$459,NaN,2,2,Apt/Condo,2023 (-1 yrs old),Freehold Strata,Upper Unit,,"Air Conditioning, Central Location, Golf Course Nearby, Greenbelt, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Cambie,https://www.rew.ca//properties/3935874/202-4240-cambie-street-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,895,900",1152 Sqft,$611,NaN,2,3,Apt/Condo,2023 (-1 yrs old),Freehold Strata,Ground Level Unit,,"Air Conditioning, Central Location, Golf Course Nearby, Greenbelt, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Cambie,https://www.rew.ca//properties/3935881/4228-cambie-street-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$959,000",931 Sqft,$421,"$2,092",2,2,Apt/Condo,2017 (5 yrs old),Leasehold prepaid-Strata,"1 Storey,Corner Unit",,,,University (UBC),https://www.rew.ca//properties/3938539/105-5628-birney-avenue-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$565,000",502 Sqft,$280,"$1,403",1,1,Apt/Condo,2007 (15 yrs old),Freehold Strata,1 Storey,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3939493/1109-668-citadel-parade-vancouver-bc?direction=desc&page=14&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
