List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$759,900",759 Sqft,$391,"$2,028",1,1,Apt/Condo,1994 (28 yrs old),Freehold Strata,Inside Unit,Garage Door Opener,Central Location,"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Mount Pleasant East,https://www.rew.ca//properties/3944599/208-55-e-10th-avenue-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$498,000",485 Sqft,$275,"$1,327",1,1,Apt/Condo,2016 (6 yrs old),Freehold Strata,Upper Unit,,"Central Location, Private Setting, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Collingwood,https://www.rew.ca//properties/3942587/860-5515-boundary-road-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$749,000",617 Sqft,$0,"$2,021",2,1,Apt/Condo,2021 (1 yrs old),Freehold Strata,1 Storey,"Garage Door Opener, Smoke Alarm","Marina Nearby, Recreation Nearby, Shopping Nearby","Disposal - Waste, Washer/Dryer/Fridge/Stove/Dishwasher",Collingwood,https://www.rew.ca//properties/3942886/1309-5058-joyce-street-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$498,000",451 Sqft,$215,"$1,379",0,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,Other,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Kitsilano,https://www.rew.ca//properties/3941317/203-2858-w-4th-avenue-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$985,000",885 Sqft,$505,"$2,271",2,2,Apt/Condo,2007 (15 yrs old),Freehold Strata,Upper Unit,"Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3939954/1603-111-w-georgia-street-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,659,900",929 Sqft,$492,NaN,2,2,Apt/Condo,2023 (-1 yrs old),Freehold Strata,Upper Unit,,"Air Conditioning, Central Location, Golf Course Nearby, Greenbelt, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher, Wine Cooler",Cambie,https://www.rew.ca//properties/3939502/605-4240-cambie-street-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$618,900",388 Sqft,$385,"$1,648",0,1,Apt/Condo,2020 (2 yrs old),Freehold Strata,Corner Unit,"Hot Tub Spa/swirlpool, Intercom, Oven - Built In, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3943278/2009-1480-howe-street-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$699,000",1138 Sqft,$442,"$1,572",2,2,Apt/Condo,1990 (32 yrs old),Freehold Strata,1 Storey,,"Central Location, Gated Complex, Shopping Nearby, Treed","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Killarney,https://www.rew.ca//properties/3943244/37-6512-chambord-place-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$899,000",1023 Sqft,$454,"$2,513",3,2,Apt/Condo,2003 (19 yrs old),Freehold Strata,"Corner Unit,Upper Unit","Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire, Storage Shed, Windows - Thermo","Central Location, Private Setting, Recreation Nearby, Shopping Nearby, Treed",Washer/Dryer/Fridge/Stove/Dishwasher,Collingwood,https://www.rew.ca//properties/3942898/1902-3588-crowley-drive-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$698,000",700 Sqft,$273,$0,2,2,Apt/Condo,2023 (-1 yrs old),Freehold Strata,Corner Unit,Drapes/window Coverings,"Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Collingwood,https://www.rew.ca//properties/3942900/207-5399-joyce-street-vancouver-bc?direction=desc&page=13&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
