List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$1,099,000",915 Sqft,$559,"$3,124",2,2,Apt/Condo,2008 (14 yrs old),Freehold Strata,"Corner Unit,Upper Unit",Drapes/window Coverings,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3939534/2302-1255-seymour-street-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,198,000",1192 Sqft,$701,"$3,259",2,2,Apt/Condo,1994 (28 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Garage Door Opener","Central Location, Lane Access, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3938554/802-283-davie-street-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$689,900",555 Sqft,$0,$0,1,1,Apt/Condo,2023 (-1 yrs old),Freehold Strata,Other,,,,Mount Pleasant East,https://www.rew.ca//properties/3939496/308-2520-guelph-street-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,785,000",1681 Sqft,"$1,160","$6,432",2,2,Apt/Condo,2009 (13 yrs old),Freehold Strata,"1 Storey,Upper Unit","Drapes/window Coverings, Oven - Built In, Pantry","Air Conditioning, Central Location, Marina Nearby, Private Setting, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",False Creek,https://www.rew.ca//properties/3939484/501-138-athletes-way-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$628,000",696 Sqft,$405,"$1,762",1,1,Apt/Condo,1996 (26 yrs old),Freehold Strata,"1 Storey,Other","Smoke Alarm, Sprinkler - Fire","Central Location, Lane Access, Shopping Nearby","Disposal - Waste, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Kerrisdale,https://www.rew.ca//properties/3938550/310-5788-vine-street-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$699,900",646 Sqft,$0,"$1,888",1,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,Upper Unit,"Garage Door Opener, Smoke Alarm, Sprinkler - Fire",,"Microwave, Stove, Washer/Dryer/Fridge/Stove/Dishwasher",False Creek,https://www.rew.ca//properties/3938544/202-63-w-2nd-avenue-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,099,000",1108 Sqft,$680,"$2,715",2,2,Apt/Condo,1993 (29 yrs old),Freehold Strata,Upper Unit,"Smoke Alarm, Sprinkler - Fire","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3938529/2104-950-cambie-street-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$975,000",1163 Sqft,$512,"$2,303",2,2,Apt/Condo,1990 (32 yrs old),Freehold Strata,"Corner Unit,Upper Unit","Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Smoke Alarm, Windows - Thermo","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Point Grey,https://www.rew.ca//properties/3938183/405-2020-highbury-street-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$869,000",840 Sqft,$588,"$3,025",1,1,Apt/Condo,2019 (3 yrs old),Freehold Strata,"1 Storey,Corner Unit",Drapes/window Coverings,"Air Conditioning, Central Location, Golf Course Nearby, Recreation Nearby, Shopping Nearby","Dishwasher, Microwave, Refrigerator, Washer/Dryer/Fridge/Stove/Dishwasher",South Granville,https://www.rew.ca//properties/3938112/513-1561-w-57th-avenue-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$549,000",502 Sqft,$285,"$1,356",1,1,Apt/Condo,2007 (15 yrs old),Freehold Strata,1 Storey,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3937867/709-668-citadel-parade-vancouver-bc?direction=desc&page=15&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
