List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$3,890,000",2010 Sqft,"$1,744","$8,703",3,3,Apt/Condo,2005 (17 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Garage Door Opener","Air Conditioning, Central Location, Marina Nearby, Private Setting, Recreation Nearby, Shopping Nearby","Dishwasher, Disposal - Waste, Washer/Dryer/Fridge/Stove/Dishwasher",Yaletown,https://www.rew.ca//properties/3946596/501-428-beach-crescent-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$999,000",1016 Sqft,$530,"$2,192",1,1,Apt/Condo,1996 (26 yrs old),Freehold Strata,"2 Storey,Loft/Warehouse Conv.","Drapes/window Coverings, Garage Door Opener, Humidifier, Smoke Alarm, Sprinkler - Fire","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3946583/315-1238-seymour-street-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$409,900",422 Sqft,$253,$848,1,1,Apt/Condo,1985 (37 yrs old),Freehold Strata,"1 Storey,Inside Unit",,Central Location,"Refrigerator, Stove",Mount Pleasant East,https://www.rew.ca//properties/3946584/331-711-e-6th-avenue-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$499,900",579 Sqft,$358,"$1,441",1,1,Apt/Condo,2018 (4 yrs old),Freehold Strata,Inside Unit,,,"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Strathcona,https://www.rew.ca//properties/3946422/353-955-e-hastings-street-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$947,000",1106 Sqft,$624,"$2,206",2,2,Apt/Condo,1991 (31 yrs old),Freehold Strata,"Corner Unit,Penthouse",,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Grandview East,https://www.rew.ca//properties/3945853/p4-2736-victoria-drive-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,000",502 Sqft,$262,"$1,470",1,1,Apt/Condo,2007 (15 yrs old),Freehold Strata,Upper Unit,,,Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3945842/803-131-regiment-square-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$699,000",843 Sqft,$419,"$1,622",2,2,Apt/Condo,1999 (23 yrs old),Freehold Strata,Penthouse,"Pantry, Smoke Alarm, Sprinkler - Fire","Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Knight,https://www.rew.ca//properties/3945850/ph2-1015-kingsway-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$599,800",471 Sqft,$296,"$1,774",1,1,Apt/Condo,2014 (8 yrs old),Freehold Strata,Upper Unit,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3945812/2605-1308-hornby-street-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$698,800",573 Sqft,$365,"$2,043",1,1,Apt/Condo,2014 (8 yrs old),Freehold Strata,Upper Unit,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3945800/2008-1308-hornby-street-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,350,000",1276 Sqft,$667,"$3,308",2,2,Apt/Condo,1994 (28 yrs old),Freehold Strata,Upper Unit,,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3945795/1304-283-davie-street-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$938,000",791 Sqft,$471,"$2,262",1,1,Apt/Condo,1999 (23 yrs old),Freehold Strata,"Corner Unit,Upper Unit","Garage Door Opener, Sprinkler - Fire","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/3945777/1502-198-aquarius-mews-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$629,000",549 Sqft,$316,"$1,479",1,1,Apt/Condo,2013 (9 yrs old),Freehold Strata,"Inside Unit,Upper Unit","Drapes/window Coverings, Garage Door Opener, Intercom, Oven - Built In, Smoke Alarm","Central Location, Recreation Nearby, Shopping Nearby","Microwave, Range Top, Washer/Dryer/Fridge/Stove/Dishwasher",Collingwood,https://www.rew.ca//properties/3945780/1306-4815-eldorado-mews-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$849,000",908 Sqft,$411,"$2,119",2,2,Apt/Condo,1992 (30 yrs old),Freehold Strata,End Unit,"Drapes/window Coverings, Garage Door Opener, Smoke Alarm","Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Fairview,https://www.rew.ca//properties/3945764/101-1106-w-11th-avenue-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$7,398,000",2747 Sqft,"$3,090","$20,306",3,4,Apt/Condo,2008 (14 yrs old),Freehold Strata,"1 Storey,Corner Unit","Drapes/window Coverings, Garage Door Opener, Security System","Central Location, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",West End,https://www.rew.ca//properties/3945750/4502-1128-w-georgia-street-vancouver-bc?direction=desc&page=11&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
